1,강남마이스관광특구,,10267813
2,동대문관광특구,,8768935
3,명동관광특구,,10267477
4,이태원관광특구,,527197
5,잠실관광특구,,10291822
6,종로청계관광특구,,10292168
7,홍대관광특구,,10857202
8,경복궁서촌마을,,5764109
9,광화문덕수궁,,219147
10,창덕궁종묘,,5394848
11,가산디지털단지역,,185774
12,강남역,,280181
13,건대입구역,,280369
14,고속터미널역,,280235
15,교대역,,280182
16,구로디지털단지역,,280191
17,서울역,,219821
18,선릉역,,280179
19,신도림역,,280115
20,신림역,,280189
21,신촌이대역,,286549
22,역삼역,,280180
23,연신내역,,624352
24,용산역,,1097953
25,왕십리역,,280161
26,상암디지털미디어시티,,1392735
27,창동신경제중심지,,183893
28,노량진,,1000564080
29,낙산공원이화마을,,2980109
30,북촌한옥마을,,737872
31,가로수길,,1195057
32,성수카페거리,,8705394
33,수유리먹자골목,,7936772
34,쌍문동맛집거리,,6553336
35,압구정로데오거리,,187715
36,여의도,,1000564070
37,영등포타임스퀘어,,1172091
38,인사동,,1000564192
39,국립중앙박물관,,218130
40,남산공원,,6936059
41,뚝섬한강공원,,182594
42,망원한강공원,,212403
43,반포한강공원,,394217
44,북서울꿈의숲,,1583841
45,서울대공원,,381867
46,서울숲공원,,1142340
47,월드컵공원,,5023235
48,이촌한강공원,,395143
49,잠실종합운동장,,188584
50,잠실한강공원,,187962
